rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
41,324,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,5,5,11,SNAPSHOT_IDENTIFIER_ONLY,"[""104"",""107"",""111"",""112"",""277""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""N""]","[""∅""]"
42,51,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,4,4,66,SNAPSHOT_IDENTIFIER_ONLY,"[""103"",""105"",""109"",""110""]","[""CYCLE""]","[""1""]","[""D""]","[""∅""]"
43,52,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,4,4,66,SNAPSHOT_IDENTIFIER_ONLY,"[""104"",""107"",""111"",""112""]","[""CYCLE""]","[""1""]","[""N""]","[""∅""]"
44,276,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,4,4,66,SNAPSHOT_IDENTIFIER_ONLY,"[""103"",""105"",""109"",""110""]","[""CYCLE""]","[""1""]","[""D""]","[""∅""]"
45,277,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,4,4,66,SNAPSHOT_IDENTIFIER_ONLY,"[""104"",""107"",""111"",""112""]","[""CYCLE""]","[""1""]","[""N""]","[""∅""]"
46,57,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""51""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅"",""D""]","[""∅""]"
47,58,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""51""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅"",""D""]","[""∅""]"
48,59,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""52""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅"",""N""]","[""∅""]"
49,60,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""52""]","[""BUNDLE"",""CARRIER""]","[""0"",""1""]","[""∅"",""N""]","[""∅""]"
50,216,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""210""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅"",""D""]","[""∅""]"
